"SHIPFLAG","branch","docno","DOCDATE","CUSTNAME","user_lname","dg_lname","cd_code","sub_id","cd_name","ct_lname","brand","code","lname","location_code","location","SNAME","LName_unit","qty","REMARK","UNITPRICE","NETAMOUNT","dim5_code","dim5_name","delivery_status","delivery_remark","last_update"
"0","สำนักงานใหญ่","BFV6902-0153","6/2/2026","บริษัท ยะลานำรุ่ง จำกัด (ท่าสาป)","กีน","ใบสั่งซื้อในเครือ","1703345202510","","ตะแกรงเทพื้น 3.4มิลx25x25ซม. (2.0x25ม.) สีเขียว","ลวด,ตาข่าย,ตะแกรง",,"01 NK","NK เคหะภัณฑ์","15B","แผนก เหล็กเส้น","01","ม้วน","1","NKV6902-0359 เอกลัก /จัดส่ง/หาพี่บ่าว /พี่เบิร์ดค่ะ","1","1","15B","แผนก เหล็กเส้น","รับแล้ว",,"6/2/2026 08:53:53"
"0","สำนักงานใหญ่","BFV6902-0153","6/2/2026","บริษัท ยะลานำรุ่ง จำกัด (ท่าสาป)","กีน","ใบสั่งซื้อในเครือ","8851100000139","","ปูนซีเมนต์ อินทรีเพชรพลัส","ปูน","ปูนอินทรี","01 NK","NK เคหะภัณฑ์","15E","แผนก ปูน","01","ถุง","20","NKV6902-0359 เอกลัก /จัดส่ง/หาพี่บ่าว /พี่เบิร์ดค่ะ","1","20","15E","แผนก ปูน","รับแล้ว",,"6/2/2026 14:09:52"
"0","สำนักงานใหญ่","BFV6902-0154","6/2/2026","บริษัท ยะลานำรุ่ง จำกัด (ท่าสาป)","กีน","ใบสั่งซื้อในเครือ","1103F30141521","","ท่อแบน GI 3""x1.1/2""x1.3-1.4-1.5 มม. (ขาว/13.50+/-)(50เส้น/มัด)","เหล็กรูป","เหล็กรูป","01 NK","NK เคหะภัณฑ์","15C","แผนก เหล็กรูป","01","เส้น","3","NKV6902-0369 /เดอะเบส /จัดส่ง /หาแม่ตือ ค่ะ","1","3","15C","แผนก เหล็กรูป","รับแล้ว",,"6/2/2026 14:10:51"
"0","สำนักงานใหญ่","BFV6902-0156","6/2/2026","บริษัท ยะลานำรุ่ง จำกัด (ท่าสาป)","กีน","ใบสั่งซื้อในเครือ","150103SR24A10","","เหล็กเส้นกลม 9 มม SR-24 (4.99กก/โรงใหญ่ 10เมตร)  (3/8) (200-300เส้น/มัด)","เหล็กเส้นก่อสร้าง",,"01 NK","NK เคหะภัณฑ์","15B","แผนก เหล็กเส้น","01","เส้น","50","NKV6902-6364 /ณัฐธกร /จัดส่ง/หาพี่บ่าวค่ะ","1","50","15B","แผนก เหล็กเส้น","รับแล้ว",,"6/2/2026 08:54:29"
"0","สำนักงานใหญ่","BFV6902-0156","6/2/2026","บริษัท ยะลานำรุ่ง จำกัด (ท่าสาป)","กีน","ใบสั่งซื้อในเครือ","150212SD40X10","","เหล็กเส้นข้ออ้อย 12มม.SD40T พับ (10เมตร/8.88กก.)","เหล็กเส้นก่อสร้าง",,"01 NK","NK เคหะภัณฑ์","15B","แผนก เหล็กเส้น","01","เส้น","500","NKV6902-6364 /ณัฐธกร /จัดส่ง/หาพี่บ่าวค่ะ","1","500","15B","แผนก เหล็กเส้น","รับแล้ว",,"6/2/2026 08:54:19"
"0","สำนักงานใหญ่","BFV6902-0156","6/2/2026","บริษัท ยะลานำรุ่ง จำกัด (ท่าสาป)","กีน","ใบสั่งซื้อในเครือ","17014WTIXXX21","","ลวดผูกเหล็ก (2.35-2.50)    (100ขด/มัด)","ลวด,ตาข่าย,ตะแกรง",,"01 NK","NK เคหะภัณฑ์","15B","แผนก เหล็กเส้น","01","ขด","15","NKV6902-6364 /ณัฐธกร /จัดส่ง/หาพี่บ่าวค่ะ","1","15","15B","แผนก เหล็กเส้น","รับแล้ว",,"6/2/2026 08:54:08"
"0","สำนักงานใหญ่","BFV6902-0157","6/2/2026","บริษัท ยะลานำรุ่ง จำกัด (ท่าสาป)","พารูดา","ใบสั่งซื้อในเครือ","2401B0485BX12","","ท่อพีวีซี ชั้น 8.5x1/2"" บานหัว POLY (25/ส)","ท่อและอุปกรณ์ PVC",,"01 NK","NK เคหะภัณฑ์","15D","แผนก PVC","02","เส้น","50","เบิก วางขาย ท่าสาป/ดา","34.5","1725","15D","แผนก PVC","รับแล้ว",,"7/2/2026 08:54:03"
"0","สำนักงานใหญ่","BFV6902-0157","6/2/2026","บริษัท ยะลานำรุ่ง จำกัด (ท่าสาป)","พารูดา","ใบสั่งซื้อในเครือ","2401B205BXX12","","ท่อพีวีซี ชั้น 5x2"" บานหัว (10/ส)","ท่อและอุปกรณ์ PVC",,"01 NK","NK เคหะภัณฑ์","15D","แผนก PVC","02","เส้น","10","เบิก วางขาย ท่าสาป/ดา","98","980","15D","แผนก PVC","รับแล้ว",,"7/2/2026 08:54:03"
"0","สำนักงานใหญ่","BFV6902-0157","6/2/2026","บริษัท ยะลานำรุ่ง จำกัด (ท่าสาป)","พารูดา","ใบสั่งซื้อในเครือ","2401B2085BX12","","ท่อพีวีซี ชั้น 8.5x2"" บานหัว (10/ส)","ท่อและอุปกรณ์ PVC",,"01 NK","NK เคหะภัณฑ์","15D","แผนก PVC","02","เส้น","10","เบิก วางขาย ท่าสาป/ดา","147","1470","15D","แผนก PVC","รับแล้ว",,"7/2/2026 08:54:03"
"0","สำนักงานใหญ่","BFV6902-0157","6/2/2026","บริษัท ยะลานำรุ่ง จำกัด (ท่าสาป)","พารูดา","ใบสั่งซื้อในเครือ","8851100000016","","ปูนซีเมนต์ อินทรีแดง","ปูน","ปูนอินทรี","01 NK","NK เคหะภัณฑ์","15E","แผนก ปูน","02","ถุง","65","เบิก วางขาย ท่าสาป/ดา","139","9035","15E","แผนก ปูน","รับแล้ว",,"7/2/2026 08:54:03"
"0","สำนักงานใหญ่","BFV6902-0157","6/2/2026","บริษัท ยะลานำรุ่ง จำกัด (ท่าสาป)","พารูดา","ใบสั่งซื้อในเครือ","8851100000139","","ปูนซีเมนต์ อินทรีเพชรพลัส","ปูน","ปูนอินทรี","01 NK","NK เคหะภัณฑ์","15E","แผนก ปูน","02","ถุง","80","เบิก วางขาย ท่าสาป/ดา","168.5","13480","15E","แผนก ปูน","รับแล้ว",,"7/2/2026 09:00:04"
"0","สำนักงานใหญ่","BFV6902-0160","6/2/2026","บริษัท ยะลานำรุ่ง จำกัด (ท่าสาป)","ปลา","ใบสั่งซื้อในเครือ","8851100000078","","ปูนซีเมนต์ อินทรีทอง","ปูน","ปูนอินทรี","01 NK","NK เคหะภัณฑ์","15E","แผนก ปูน","01","ถุง","30","HKV6902-0771/จดส่ง/หา....กิ๊ง","1","30","15E","แผนก ปูน",,,"6/2/2026 09:13:25"
"0","สำนักงานใหญ่","BFV6902-0161","6/2/2026","บริษัท ยะลานำรุ่ง จำกัด (ท่าสาป)","ปลา","ใบสั่งซื้อในเครือ","170342020XX11","","ตะแกรงเทพื้น 4มิลx20x20ซม. (2.0x25ม.)","ลวด,ตาข่าย,ตะแกรง",,"01 NK","NK เคหะภัณฑ์","15B","แผนก เหล็กเส้น","01","ม้วน","1","NKV6902-0373/จัดส่ง/หา..พี่บ่าว","0","0","15B","แผนก เหล็กเส้น","รับแล้ว",,"6/2/2026 14:03:15"
"0","สำนักงานใหญ่","BFV6902-0162","6/2/2026","บริษัท ยะลานำรุ่ง จำกัด (ท่าสาป)","กีน","ใบสั่งซื้อในเครือ","1103F20101821","","ท่อแบน GI 2""x1""x1.5-1.6 มม. (ส้ม)  (10.20+/-)","เหล็กรูป",,"01 NK","NK เคหะภัณฑ์","15C","แผนก เหล็กรูป","01","เส้น","2","NKV6902-0374 ซีเอ็น /รับเอง/หาพี่ต้น ค่ะ","1","2","15C","แผนก เหล็กรูป","รับแล้ว",,"6/2/2026 14:14:42"
"0","สำนักงานใหญ่","BFV6902-0162","6/2/2026","บริษัท ยะลานำรุ่ง จำกัด (ท่าสาป)","กีน","ใบสั่งซื้อในเครือ","1103I2018XX20","","ท่อเหลี่ยม GI 2""x1.7-1.8 มม. (ส้ม) ) (14.90+/-)","เหล็กรูป",,"01 NK","NK เคหะภัณฑ์","15C","แผนก เหล็กรูป","01","เส้น","2","NKV6902-0374 ซีเอ็น /รับเอง/หาพี่ต้น ค่ะ","1","2","15C","แผนก เหล็กรูป","รับแล้ว",,"6/2/2026 14:14:43"
"0","สำนักงานใหญ่","BFV6902-0162","6/2/2026","บริษัท ยะลานำรุ่ง จำกัด (ท่าสาป)","กีน","ใบสั่งซื้อในเครือ","1201I09201211","","เหล็กแผ่น 90x200 1.2มม. แผ่นเท่าประตู","เหล็กแผ่น",,"01 NK","NK เคหะภัณฑ์","15C","แผนก เหล็กรูป","01","แผ่น","1","NKV6902-0374 ซีเอ็น /รับเอง/หาพี่ต้น ค่ะ","1","1","15C","แผนก เหล็กรูป","รับแล้ว",,"6/2/2026 14:14:44"
"0","สำนักงานใหญ่","BFV6902-0162","6/2/2026","บริษัท ยะลานำรุ่ง จำกัด (ท่าสาป)","กีน","ใบสั่งซื้อในเครือ","1201I4040XX10","","เหล็กแผ่นตัด 4""x4""  4 มม  (ม่วง)  เหล็กเพลท","เหล็กแผ่น",,"01 NK","NK เคหะภัณฑ์","15C","แผนก เหล็กรูป","01","แผ่น","3","NKV6902-0374 ซีเอ็น /รับเอง/หาพี่ต้น ค่ะ","1","3","15C","แผนก เหล็กรูป","รับแล้ว",,"6/2/2026 14:14:45"
